관리번호,구분,관리기관,시설명,위치,출발 X,출발 Y,도착 X,도착 Y,총중량,폭제한,높이제한,길이제한,실제높이
838,교량,공단,망원3교,마포구 망원동,190496.5619,550996.0908,551117.8722,190601.9356,40,2.5,4,16.7,
839,교량,공단,망원2교,마포구 망원동,190488.5403,550986.2462,551111.6737,190595.3725,32,2.5,4,16.7,
845,교량,공단,망원1교,마포구 망원동,190477.693,551099.8237,551147.5883,190647.239,32,2.5,4,16.7,
846,교량,공단,망원4교,마포구 망원동,190417.5316,550995.0881,551161.0791,190570.1229,40,2.5,4,16.7,
433,교량,교량안전과,성산대교,마포구 망원동 ~ 영등포구 양화동,190630.1283,550803.6675,549768.0029,190128.4847,32,2.5,4,16.7,
837,교량,공단,당인교,마포구 상수동 ~ 당인동,192899.3744,549262.3467,549344.7497,193044.4912,40,2.5,4,16.7,
879,교량,교량안전과,구룡교,마포구 상암동,188261.8239,553044.6771,553370.0481,189006.8323,40,2.5,4,16.7,
880,교량,교량안전과,월드컵대교 접속교,마포구 상암동,190078.2253,551285.0382,551696.5666,190356.97,40,2.5,4,16.7,
881,교량,교량안전과,월드컵대교 북단램프,마포구 상암동,189907.4309,551266.7931,551440.6284,190071.13,40,2.5,4,16.7,
432,교량,교량안전과,가양대교,마포구 상암동 ~ 강서구 가양동,188021.7727,552714.203,551942.3384,187563.2988,40,2.5,4,16.7,
186,고가,서부도로사업소,수색교,마포구 상암동 ~ 은평구 수색동,189903.2651,554044.7441,554155.9164,190026.7684,40,2.5,4,16.7,
193,고가,서부도로사업소,성산고가,마포구 성산동,191596.9806,552095.6336,552201.9504,191812.5535,40,2.5,4,16.7,
681,교량,서부도로사업소,중암교,마포구 성산동,191113.3102,552549.5559,552613.7223,191183.1384,40,2.5,4,16.7,
682,교량,서부도로사업소,성산2교,마포구 성산동,192164.2381,551766.0781,551813.529,192198.7478,32,2.5,4,16.7,
684,교량,서부도로사업소,성산교,마포구 성산동,191076.6437,551351.6923,551441.2018,191079.879,32,2.5,4,16.7,
685,교량,서부도로사업소,상암교,마포구 성산동,191113.0406,551831.8622,551860.7102,191175.859,40,2.5,4,16.7,
687,교량,서부도로사업소,연남교,마포구 성산동,192600.7317,551990.2563,552017.217,192640.3639,40,2.5,4,16.7,
891,교량,서부도로사업소,성산3교,마포구 성산동,191835.0768,551647.723,551699.4174,191854.3355,40,2.5,4,16.7,
265,터널,서부도로사업소,월드컵터널,마포구 성산동,190832.5462,552338.1476,552585.3013,191011.1126,40,2.5,4,16.7,
686,교량,서부도로사업소,성산1교,마포구 성산동 ~ 망원동,191444.9268,551509.9515,551582.7454,191503.1619,40,2.5,4,16.7,
435,교량,교량안전과,서강대교,마포구 신정동 ~ 영등포구 여의도동,193720.7285,549281.5233,548068.125,193084.0428,40,2.5,4,16.7,
688,교량,서부도로사업소,중동교,마포구 중동,191250.2706,552819.2976,552864.8612,191305.2704,40,2.5,4,16.7,
194,고가,서부도로사업소,잠두봉고가,마포구 합정동,192384.0464,549301.5345,549364.4108,192594.6435,32,2.5,4,16.7,
434,교량,교량안전과,양화대교,마포구 합정동 ~ 영등포구 당산동,191874.8111,549679.7508,548837.8037,191189.4227,40,2.5,4,16.7,
835,교량,공단,서호교,마포구 합정동 ~ 용산구 이촌동,191899.6002,547569.4394,549632.4309,195841.8171,40,2.5,4,16.7,
286,터널,강서도로사업소,작동터널,부천시 작동 ~ 구로구 궁동,184218.3674,545188.438,545200.4786,184426.8403,40,2.5,4,16.7,
674,교량,서부도로사업소,사천교,서대문구 남가좌동 ~ 연희동,192646.9693,552056.5459,552092.6732,192699.2731,32,2.5,4,16.7,
683,교량,서부도로사업소,홍남교,서대문구 남가좌동 ~ 연희동,193484.7729,552852.5941,552908.6723,193521.9786,32,2.5,4,16.7,
189,고가,서부도로사업소,봉원고가,서대문구 대신동,195162.8725,551652.2727,552013.8085,195375.1953,32,2.5,4,16.7,
266,터널,서부도로사업소,금화터널,서대문구 대신동 ~ 현저동,195482.2856,552150.345,552401.4326,196147.2915,40,2.5,4,16.7,
594,교량,서대문,증산3교 ,서대문구 북가좌동,191701.9861,553387.9937,553419.0427,191739.064,32,2.5,4,16.7,
182,고가,서부도로사업소,서소문고가,서대문구 순화동 ~ 중림동,197029.3608,551272.5699,551438.5697,197487.6684,20,2.5,4,16.7,
166,고가,교량안전과,모래내고가차도,서대문구 연남동,192453.9502,551846.8822,551998.9017,193006.3913,20,2.5,4,16.7,
160,고가,서대문,증가로 ,서대문구 연희동,193626.3346,552625.3701,552652.0772,193670.3157,40,2.5,4,16.7,
596,교량,서대문,연가교 ,서대문구 연희동,193079.294,552482.1478,552509.2779,193107.6299,40,2.5,4,16.7,
732,교량,성동도로사업소,용두4교,서대문구 용두동,203024.5828,552719.9457,552722.6824,203080.5321,32,2.5,4,16.7,
598,교량,서대문,충정2교 ,서대문구 충정로3가,196831.6967,551412.0136,551466.274,196859.4298,40,2.5,4,16.7,
